Wavelength_nm,PVSK_EQE_percent,CdTe_Filtered_EQE_percent,Tandem_Optical_EQE_percent
250.00000000,74.64561000,0.00000000,74.64561000
255.00000000,74.64561000,0.00000000,74.64561000
260.00000000,74.64561000,0.00000000,74.64561000
265.00000000,74.64561000,0.00000000,74.64561000
270.00000000,74.64561000,0.00000000,74.64561000
275.00000000,74.64562000,0.00000000,74.64562000
280.00000000,74.64562000,0.00000000,74.64562000
285.00000000,74.64557000,0.00000000,74.64557000
290.00000000,74.64555000,0.00000000,74.64555000
295.00000000,74.64560000,0.00000000,74.64560000
300.00000000,74.64566000,0.00000000,74.64566000
305.00000000,74.64579000,0.00000000,74.64579000
310.00000000,74.64603000,0.00000000,74.64603000
315.00000000,74.64642000,0.00000000,74.64642000
320.00000000,74.64696000,0.00000000,74.64696000
325.00000000,79.69250000,0.00000000,79.69250000
330.00000000,83.91324000,0.00000000,83.91324000
335.00000000,87.37360000,0.00000000,87.37360000
340.00000000,90.16498000,0.00000000,90.16498000
345.00000000,93.34826000,0.00000000,93.34826000
350.00000000,95.55382000,0.00000000,95.55382000
355.00000000,97.05867000,0.00000000,97.05867000
360.00000000,98.07432000,0.00000000,98.07432000
365.00000000,98.43682000,0.00000000,98.43682000
370.00000000,98.73255000,0.00000000,98.73255000
375.00000000,98.97291000,0.00000000,98.97291000
380.00000000,99.16752000,0.00000000,99.16752000
385.00000000,99.20107000,0.00000000,99.20107000
390.00000000,99.23225000,0.00000000,99.23225000
395.00000000,99.26179000,0.00000000,99.26179000
400.00000000,99.29037000,0.00000000,99.29037000
405.00000000,99.31537000,0.00000000,99.31537000
410.00000000,99.34005000,0.00000000,99.34005000
415.00000000,99.36430000,0.00000000,99.36430000
420.00000000,99.38800000,0.00000000,99.38800000
425.00000000,99.40246000,0.00000000,99.40246000
430.00000000,99.41728000,0.00000000,99.41728000
435.00000000,99.43230000,0.00000000,99.43230000
440.00000000,99.44751000,0.00000000,99.44751000
445.00000000,99.44849000,0.00000000,99.44849000
450.00000000,99.44972000,0.00000000,99.44972000
455.00000000,99.45104000,0.00000017,99.45104017
460.00000000,99.45170000,0.00000062,99.45170062
465.00000000,99.44838000,0.00000108,99.44838108
470.00000000,99.44394000,0.00000156,99.44394156
475.00000000,99.43670000,0.00000206,99.43670206
480.00000000,99.42591000,0.00003037,99.42594037
485.00000000,99.41712000,0.00006096,99.41718096
490.00000000,99.39663000,0.00009348,99.39672348
495.00000000,99.36003000,0.00012769,99.36015769
500.00000000,99.29865000,0.00016334,99.29881334
505.00000000,99.19428000,0.00129993,99.19557993
510.00000000,99.03439000,0.00251624,99.03690624
515.00000000,98.80017000,0.00378897,98.80395897
520.00000000,98.48640000,0.00510012,98.49150012
525.00000000,98.06922000,0.00668689,98.07590689
530.00000000,97.58169000,0.01821706,97.59990706
535.00000000,96.99347000,0.02977197,97.02324197
540.00000000,96.37786000,0.04129480,96.41915480
545.00000000,95.68555000,0.05280204,95.73835204
550.00000000,94.98248000,0.06430289,95.04678289
555.00000000,94.23145000,0.10591070,94.33736070
560.00000000,93.49898000,0.14752250,93.64650250
565.00000000,92.74752000,0.18913050,92.93665050
570.00000000,92.06939000,0.23073940,92.30012940
575.00000000,91.36563000,0.27234860,91.63797860
580.00000000,90.69096000,0.36920790,91.06016790
585.00000000,89.99009000,0.46611960,90.45620960
590.00000000,89.35037000,0.56305460,89.91342460
595.00000000,88.68673000,0.66001010,89.34674010
600.00000000,88.00067000,0.75698310,88.75765310
605.00000000,87.32774000,0.94459520,88.27233520
610.00000000,86.67365000,1.13244100,87.80609100
615.00000000,86.06054000,1.32045600,87.38099600
620.00000000,85.42669000,1.50859000,86.93528000
625.00000000,84.78099000,1.69690400,86.47789400
630.00000000,84.11638000,1.98166400,86.09804400
635.00000000,83.52579000,2.26650200,85.79229200
640.00000000,83.02715000,2.55136600,85.57851600
645.00000000,82.52374000,2.83659400,85.36033400
650.00000000,82.07173000,3.12166800,85.19339800
655.00000000,81.62535000,3.46765200,85.09300200
660.00000000,81.18516000,3.81345900,84.99861900
665.00000000,80.86158000,4.15851800,85.02009800
670.00000000,80.53655000,4.50345800,85.04000800
675.00000000,80.17082000,4.84826600,85.01908600
680.00000000,79.66095000,5.45883500,85.11978500
685.00000000,79.14673000,6.06945300,85.21618300
690.00000000,78.45324000,6.67989900,85.13313900
695.00000000,77.12831000,7.29016100,84.41847100
700.00000000,75.77808000,7.90021200,83.67829200
705.00000000,74.23084000,9.90165500,84.13249500
710.00000000,70.85607000,11.90201000,82.75808000
715.00000000,67.40633000,13.90116000,81.30749000
720.00000000,63.91753000,15.89902000,79.81655000
725.00000000,57.01033000,17.89692000,74.90725000
730.00000000,49.54542000,27.43645000,76.98187000
735.00000000,42.37763000,36.97134000,79.34897000
740.00000000,33.60489000,46.50126000,80.10615000
745.00000000,23.39890000,56.02511000,79.42401000
750.00000000,15.94471000,65.54320000,81.48791000
755.00000000,10.71757000,71.18600000,81.90357000
760.00000000,0.48645390,76.82473000,77.31118390
765.00000000,0.32316640,82.42753000,82.75069640
770.00000000,0.26443030,88.01707000,88.28150030
775.00000000,0.22213010,93.59155000,93.81368010
780.00000000,0.24468180,92.20572000,92.45040180
785.00000000,0.27125840,90.54848000,90.81973840
790.00000000,0.30257600,88.75910000,89.06167600
795.00000000,0.33947760,86.79594000,87.13541760
800.00000000,0.38295460,84.61788000,85.00083460
805.00000000,0.43417300,79.77894000,80.21311300
810.00000000,0.49450330,74.05206000,74.54656330
815.00000000,0.56555540,67.50004000,68.06559540
820.00000000,0.64921940,60.33614000,60.98535940
825.00000000,0.74771230,45.99114000,46.73885230
830.00000000,0.75092230,34.01921000,34.77013230
835.00000000,0.70673170,23.59800000,24.30473170
840.00000000,0.66550920,15.63054000,16.29604920
845.00000000,0.62705720,3.26975300,3.89681020
850.00000000,0.59119110,0.62971120,1.22090230
855.00000000,0.55773830,0.11981100,0.67754930
860.00000000,0.52653750,0.02282271,0.54936021
865.00000000,0.49743820,0.02312485,0.52056305
870.00000000,0.47029960,0.02342700,0.49372660
875.00000000,0.44499050,0.02372914,0.46871964
880.00000000,0.42138810,0.02395409,0.44534219
885.00000000,0.39937790,0.02417904,0.42355694
890.00000000,0.37885310,0.02440399,0.40325709
895.00000000,0.35971370,0.02462895,0.38434265
900.00000000,0.34186670,0.02485390,0.36672060
