cell,temperature_k,temperature_c,voc,jsc,ff,eta,vmpp,jmpp,pmax,jsc_source,voc_source,v_tandem_min,j_at_v_tandem_min,v_top_at_v_tandem_min,v_bottom_at_v_tandem_min
Tandem_2T,300.000000,26.850000,2.076888,5.571373,81.043755,9.377666,1.887755,4.967628,9.377666,tandem_curve,tandem_curve,-0.734230,-5.594066,1.265770,-2.000000
Tandem_4T,300.000000,26.850000,2.076888,25.945987,45.977341,24.775762,1.780000,13.918967,24.775762,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,305.000000,31.850000,2.056737,5.570385,80.984910,9.278292,1.861803,4.983498,9.278292,tandem_curve,tandem_curve,-0.741087,-5.593740,1.258913,-2.000000
Tandem_4T,305.000000,31.850000,2.056737,25.944229,46.016249,24.554477,1.760000,13.951407,24.554477,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,310.000000,36.850000,2.036242,5.569348,80.923484,9.177160,1.844162,4.976331,9.177160,tandem_curve,tandem_curve,-0.748174,-5.593412,1.251826,-2.000000
Tandem_4T,310.000000,36.850000,2.036242,25.942363,46.066401,24.334541,1.740000,13.985368,24.334541,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,315.000000,41.850000,2.015975,5.568305,80.843691,9.075161,1.817443,4.993366,9.075161,tandem_curve,tandem_curve,-0.755351,-5.593083,1.244649,-2.000000
Tandem_4T,315.000000,41.850000,2.015975,25.940723,46.125987,24.121979,1.720000,14.024406,24.121979,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,320.000000,46.850000,1.995298,5.567245,80.779739,8.973263,1.800084,4.984912,8.973263,tandem_curve,tandem_curve,-0.762470,-5.592754,1.237530,-2.000000
Tandem_4T,320.000000,46.850000,1.995298,25.938532,46.188872,23.905092,1.700000,14.061819,23.905092,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,325.000000,51.850000,1.974631,5.566160,80.684944,8.868174,1.773404,5.000650,8.868174,tandem_curve,tandem_curve,-0.769578,-5.592427,1.230422,-2.000000
Tandem_4T,325.000000,51.850000,1.974631,25.936362,46.250717,23.687189,1.670000,14.183946,23.687189,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,330.000000,56.850000,1.953995,5.565047,80.597252,8.764204,1.755846,4.991443,8.764204,tandem_curve,tandem_curve,-0.776923,-5.592103,1.223077,-2.000000
Tandem_4T,330.000000,56.850000,1.953995,25.933882,46.307515,23.466181,1.660000,14.136253,23.466181,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,335.000000,61.850000,1.933039,5.563920,80.504140,8.658440,1.736892,4.985020,8.658440,tandem_curve,tandem_curve,-0.784185,-5.591787,1.215815,-2.000000
Tandem_4T,335.000000,61.850000,1.933039,25.931251,46.383695,23.250343,1.630000,14.264014,23.250343,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,340.000000,66.850000,1.912356,5.562799,80.403333,8.553348,1.711504,4.997561,8.553348,tandem_curve,tandem_curve,-0.791355,-5.591483,1.208645,-2.000000
Tandem_4T,340.000000,66.850000,1.912356,25.928463,46.451416,23.032679,1.610000,14.306012,23.032679,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,345.000000,71.850000,1.891282,5.561656,80.294291,8.445884,1.693648,4.986799,8.445884,tandem_curve,tandem_curve,-0.798608,-5.591196,1.201392,-2.000000
Tandem_4T,345.000000,71.850000,1.891282,25.925673,46.519605,22.809848,1.590000,14.345816,22.809848,equivalent_power_addition,equivalent_power_addition,,,,
Tandem_2T,350.000000,76.850000,1.870290,5.560503,80.190013,8.339566,1.666763,5.003450,8.339566,tandem_curve,tandem_curve,-0.805918,-5.590937,1.194082,-2.000000
Tandem_4T,350.000000,76.850000,1.870290,25.923069,46.583438,22.585360,1.570000,14.385579,22.585360,equivalent_power_addition,equivalent_power_addition,,,,
